Source.Name,id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob,multiplied_prob
20230916_051900.WAV.csv,589,0.471,291.1365,291.1405,78444,49531,Myotis alcathoe,0.392,0.184632
20230915_220200.WAV.csv,58,0.571,163.0785,163.0826,66467,34921,Myotis bechsteinii,0.185,0.105635
20230916_043000.WAV.csv,35,0.662,105.9515,105.9581,85630,33203,Myotis brandtii,0.569,0.376678
20230916_060800.WAV.csv,104,0.711,34.5775,34.5836,79117,34062,Myotis daubentonii,0.685,0.487035
20230915_235400.WAV.csv,1,0.511,264.9095,264.913,79186,32343,Myotis mystacinus,0.254,0.129794
20230915_234700.WAV.csv,21,0.745,218.7895,218.7943,69073,22890,Myotis nattereri,0.697,0.519265
20230915_203800.WAV.csv,2,0.715,156.7735,156.7841,31344,24609,Nyctalus leisleri,0.595,0.425425
20230915_210600.WAV.csv,10,0.446,204.0025,204.0136,24378,18593,Nyctalus noctula,0.303,0.135138
20230916_071100.WAV.csv,0,0.414,141.2345,141.2509,40155,36640,Pipistrellus nathusii,0.26,0.10764
20230916_060800.WAV.csv,304,0.825,81.5235,81.529,79506,48671,Pipistrellus pipistrellus,0.821,0.677325
20230915_215500.WAV.csv,90,0.858,286.2565,286.2617,84230,55546,Pipistrellus pygmaeus,0.857,0.735306
20230916_042300.WAV.csv,106,0.419,12.6075,12.6112,42417,16015,Plecotus auritus,0.23,0.09637
20230916_054000.WAV.csv,55,0.611,202.9805,202.984,46274,20312,Plecotus austriacus,0.463,0.282893
