eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N1Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,heptageniidae (synonym: ecdyonuridae),,,,,,,
N2Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N2Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,dixidae,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N3Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,coleoptera,,,,,,,,
N4Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N4Stream,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N4Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,gordioidea,,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,leptoceridae,,,,,,,
