eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
SLP1,,HumanObservation,,,,absent,,,,,,,,,,,,,
NHS1,,HumanObservation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,
NHS1,,HumanObservation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,,,,Family,"Hayward, Hazel & Kevin",,
SLP4,,HumanObservation,,,,absent,,,,,,,,,,,,,
NHS1,,HumanObservation,1,1,individuals,present,Scathophaga stercoraria,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,stercoraria,,Species,"Hayward, Hazel & Kevin",,
NHS2,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,"Hayward, Hazel & Kevin",,
NHS3,,HumanObservation,6,6,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,
SLP6,,HumanObservation,,,,absent,,,,,,,,,,,,,
SLP7,,HumanObservation,,,,absent,,,,,,,,,,,,,
SLP8,,HumanObservation,,,,absent,,,,,,,,,,,,,
SLS1,,HumanObservation,,,,absent,,,,,,,,,,,,,
NHS3,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Perapion,violaceum,,Species,"Hayward, Hazel & Kevin",,
NHS3,,HumanObservation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,
SLS3,,HumanObservation,,,,absent,,,,,,,,,,,,,
NHS4,,HumanObservation,9,9,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,larvae,Order,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,1,1,individuals,present,Notostira elongata,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Notostira,elongata,,Species,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,1,1,individuals,present,Entomobrya nivalis,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Entomobrya,nivalis,,Species,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,1,1,individuals,present,Empis livida,Animalia,Arthropoda,Insecta,Diptera,Empididae,Empis,livida,,Species,"Hayward, Hazel & Kevin",,
NHS4,,HumanObservation,4,4,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,,Species,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,,,Family,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,2,2,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,,Species,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,5,5,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,,Genus,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,3,3,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,2,2,individuals,present,Stygnocoris sabulosus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Stygnocoris,sabulosus,,Species,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,8,8,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,,,Genus,"Hayward, Hazel & Kevin",,
NHS5,,HumanObservation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,"Hayward, Hazel & Kevin",,
NLP1,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,,,,Family,Hayward & Kevin,,
NLP1,,HumanObservation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,,Species,Hayward & Kevin,,
NLP2,,HumanObservation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,,Species,Hayward & Kevin,,
NLP2,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Kevin,,
NLP2,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Kevin,,
NLP2,,HumanObservation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,,,,Family,Hayward & Kevin,,
